date;home_team;home_score;away_score;away_team;tournament;winner;phase_final;home_team_pourcentage_victoire;home_team_but_mis;home_team_but_enc;away_team_pourcentage_victoire;away_team_but_mis;away_team_but_enc;Rang_home_team;Rang_away_team;Host
1930;Spain;1;0;Czechoslovakia;0;2;0;85.71;3.1;1.1;37.5;2.2;1.7;;;1
1930;Portugal;1;0;Czechoslovakia;0;2;0;28.57;0.7;2.3;37.5;2.2;1.7;;;1
1930;Greece;2;1;Yugoslavia;0;2;0;50;2.5;2.8;41.67;2.4;2.1;;;1
1930;Northern Ireland;7;0;Wales;0;2;0;16.67;2.3;3.3;0;0.8;4;;;1
1930;Italy;4;2;Switzerland;0;2;0;55.56;2.8;1.6;7.69;1.7;3.7;;;1
1930;Scotland;3;1;Northern Ireland;0;2;0;70;3;1.6;16.67;2.3;3.3;;;1
1930;Portugal;2;0;France;0;2;0;28.57;0.7;2.3;21.43;1.5;2.9;;;1
1930;Germany;0;2;Italy;0;0;0;54.55;3.1;1.6;55.56;2.8;1.6;;;1
1930;Czechoslovakia;2;2;Austria;0;1;0;37.5;2.2;1.7;36.36;2.1;1.5;;;1
1930;France;3;3;Switzerland;0;1;0;21.43;1.5;2.9;7.69;1.7;3.7;;;1
1930;England;5;2;Scotland;0;2;0;63.64;3.5;1.2;70;3;1.6;;;1
1930;Netherlands;1;1;Italy;0;1;0;9.09;1.8;3.5;55.56;2.8;1.6;;;1
1930;France;1;6;Belgium;0;0;0;21.43;1.5;2.9;38.46;2.2;2.2;;;1
1930;Switzerland;2;2;Hungary;0;1;0;7.69;1.7;3.7;38.46;2.2;2.3;;;1
1930;Yugoslavia;6;1;Bulgaria;0;2;0;41.67;2.4;2.1;12.5;1.5;3.4;;;1
1930;Czechoslovakia;1;1;Hungary;0;1;0;37.5;2.2;1.7;38.46;2.2;2.3;;;1
1930;Netherlands;2;2;Belgium;0;1;0;9.09;1.8;3.5;38.46;2.2;2.2;;;1
1930;Switzerland;0;5;Germany;0;0;0;7.69;1.7;3.7;54.55;3.1;1.6;;;1
